OBJECTID,PROVINSI,Latitude,Longitude
1,ACEH,4.225,96.910
2,BALI,-8.370,115.132
3,BANTEN,-6.456,106.109
4,BENGKULU,-3.553,102.337
5,DAERAH ISTIMEWA YOGYAKARTA,-7.895,110.446
6,DKI JAKARTA,-6.200,106.834
7,GORONTALO,0.687,122.376
8,JAMBI,-1.698,102.720
9,JAWA BARAT,-6.920,107.603
10,JAWA TENGAH,-7.259,110.201
11,JAWA TIMUR,-7.720,112.734
12,KALIMANTAN BARAT,-0.084,111.126
13,KALIMANTAN SELATAN,-3.012,115.441
14,KALIMANTAN TENGAH,-1.604,113.425
15,KALIMANTAN TIMUR,0.465,116.474
16,KALIMANTAN UTARA,2.895,116.216
17,KEPULAUAN BANGKA BELITUNG,-2.450,106.556
18,KEPULAUAN RIAU,1.483,105.408
19,LAMPUNG,-4.917,105.020
20,MALUKU,-4.738,129.841
21,MALUKU UTARA,0.210,127.540
22,NUSA TENGGARA BARAT,-8.607,117.507
23,NUSA TENGGARA TIMUR,-9.260,122.182
24,PAPUA,-4.665,138.693
25,PAPUA BARAT,-2.038,132.968
26,RIAU,0.513,101.808
27,SULAWESI BARAT,-2.462,119.344
28,SULAWESI SELATAN,-3.732,120.161
29,SULAWESI TENGAH,-1.004,121.202
30,SULAWESI TENGGARA,-4.125,122.071
31,SULAWESI UTARA,1.262,124.523
32,SUMATERA BARAT,-0.851,100.467
33,SUMATERA SELATAN,-3.214,104.171
34,SUMATERA UTARA,2.192,99.053
